t,x0,x1
7.74,0.0417869,0.00779004
7.75,0.0418648,0.000506095
7.76,0.0418648,0.000506095
7.77,0.0418699,-0.0067969
7.78,0.0418699,-0.0067969
7.79,0.0418019,-0.014096
7.8,0.0418019,-0.014096
7.81,0.041661,-0.0213682
7.82,0.041661,-0.0213682
7.83,0.0414473,-0.0285904
7.84,0.0414473,-0.0285904
7.85,0.0411614,-0.0357398
7.86,0.0411614,-0.0357398
7.87,0.040804,-0.0427937
7.88,0.040804,-0.0427937
7.89,0.0403761,-0.0497295
7.9,0.0403761,-0.0497295
7.91,0.0398788,-0.056525
7.92,0.0398788,-0.056525
7.93,0.0393135,-0.0631585
7.94,0.0393135,-0.0631585
7.95,0.0386819,-0.0696087
7.96,0.0386819,-0.0696087
7.97,0.0379858,-0.0758547
7.98,0.0379858,-0.0758547
7.99,0.0372273,-0.0818764
8,0.0372273,-0.0818764
8.01,0.0364085,-0.0876543
8.02,0.0364085,-0.0876543
8.03,0.035532,-0.0931697
8.04,0.035532,-0.0931697
8.05,0.0346003,-0.0984045
8.06,0.0346003,-0.0984045
8.07,0.0336162,-0.103342
8.08,0.0336162,-0.103342
8.09,0.0325828,-0.107965
8.1,0.0325828,-0.107965
8.11,0.0315032,-0.11226
8.12,0.0315032,-0.11226
8.13,0.0303806,-0.116212
8.14,0.0303806,-0.116212
8.15,0.0292185,-0.119807
8.16,0.0292185,-0.119807
8.17,0.0280204,-0.123035
8.18,0.0280204,-0.123035
8.19,0.02679,-0.125884
8.2,0.02679,-0.125884
8.21,0.0255312,-0.128345
8.22,0.0255312,-0.128345
8.23,0.0242477,-0.130409
8.24,0.0242477,-0.130409
8.25,0.0229437,-0.132071
8.26,0.0229437,-0.132071
8.27,0.0216229,-0.133323
8.28,0.0216229,-0.133323
8.29,0.0202897,-0.134162
8.3,0.0202897,-0.134162
8.31,0.0189481,-0.134584
8.32,0.0189481,-0.134584
8.33,0.0176023,-0.134589
8.34,0.0176023,-0.134589
8.35,0.0162564,-0.134176
8.36,0.0162564,-0.134176
8.37,0.0149146,-0.133346
8.38,0.0149146,-0.133346
8.39,0.0135812,-0.132101
8.4,0.0135812,-0.132101
8.41,0.0122601,-0.130446
8.42,0.0122601,-0.130446
8.43,0.0109557,-0.128386
8.44,0.0109557,-0.128386
8.45,0.00967181,-0.125928
8.46,0.00967181,-0.125928
8.47,0.00841254,-0.123078
8.48,0.00841254,-0.123078
8.49,0.00718175,-0.119848
8.5,0.00718175,-0.119848
8.51,0.00598327,-0.116247
8.52,0.00598327,-0.116247
8.53,0.0048208,-0.112287
